age,height_cm,weight_kg,bmi,fitness_goal
26,158,50.0,20.01,Maintain
25,162,50.6,19.29,Maintain
30,166,47.1,17.08,Muscle Gain
20,168,57.7,20.45,Maintain
49,172,85.2,28.79,Weight Loss
27,181,54.1,16.5,Muscle Gain
43,181,67.6,20.64,Maintain
47,165,55.3,20.31,Maintain
22,182,82.1,24.8,Maintain
60,183,65.6,19.58,Maintain
27,151,61.8,27.12,Weight Loss
36,172,88.8,30.0,Weight Loss
30,164,78.2,29.07,Weight Loss
56,167,86.0,30.83,Weight Loss
41,160,73.3,28.63,Weight Loss
28,152,61.9,26.79,Weight Loss
50,176,93.6,30.23,Weight Loss
18,185,96.0,28.06,Weight Loss
50,157,57.8,23.46,Maintain
20,175,71.2,23.24,Maintain
51,160,53.5,20.88,Maintain
41,162,57.2,21.81,Maintain
23,175,61.0,19.93,Maintain
43,176,81.1,26.17,Weight Loss
18,189,72.7,20.34,Maintain
25,151,40.4,17.73,Muscle Gain
40,178,52.4,16.53,Muscle Gain
53,179,101.2,31.57,Weight Loss
37,169,76.2,26.68,Weight Loss
25,156,43.6,17.91,Muscle Gain
47,190,60.4,16.73,Muscle Gain
20,159,80.9,31.99,Weight Loss
33,154,55.6,23.45,Maintain
29,170,61.6,21.33,Maintain
36,172,71.0,23.99,Maintain
52,152,64.2,27.8,Weight Loss
42,179,56.8,17.73,Muscle Gain
37,161,44.6,17.21,Muscle Gain
33,178,100.6,31.74,Weight Loss
33,168,79.8,28.26,Weight Loss
55,187,98.8,28.25,Weight Loss
22,172,55.9,18.88,Maintain
39,162,42.3,16.11,Muscle Gain
36,182,54.7,16.51,Muscle Gain
50,161,54.0,20.85,Maintain
38,152,73.1,31.63,Weight Loss
23,182,59.8,18.06,Muscle Gain
50,177,56.3,17.96,Muscle Gain
31,150,63.0,27.98,Weight Loss
28,175,80.1,26.17,Weight Loss
21,168,78.7,27.87,Weight Loss
40,180,54.4,16.8,Muscle Gain
39,175,66.9,21.84,Maintain
26,158,61.2,24.52,Maintain
44,183,84.0,25.09,Weight Loss
58,182,93.5,28.24,Weight Loss
58,170,89.4,30.92,Weight Loss
55,153,51.8,22.12,Maintain
43,167,85.9,30.8,Weight Loss
25,186,110.4,31.9,Weight Loss
35,161,56.4,21.76,Maintain
39,171,53.3,18.24,Muscle Gain
32,181,103.9,31.71,Weight Loss
29,175,94.0,30.71,Weight Loss
27,170,74.8,25.87,Weight Loss
45,186,71.8,20.76,Maintain
43,168,84.2,29.85,Weight Loss
23,181,96.3,29.4,Weight Loss
35,176,52.3,16.89,Muscle Gain
60,168,64.1,22.72,Maintain
40,177,57.2,18.27,Muscle Gain
51,159,41.6,16.44,Muscle Gain
26,183,56.0,16.72,Muscle Gain
45,163,46.8,17.6,Muscle Gain
55,155,40.7,16.93,Muscle Gain
27,182,55.5,16.75,Muscle Gain
56,185,74.7,21.83,Maintain
33,183,95.2,28.44,Weight Loss
22,159,73.8,29.21,Weight Loss
58,190,61.9,17.15,Muscle Gain
48,170,65.2,22.55,Maintain
26,154,47.9,20.18,Maintain
44,188,69.5,19.65,Maintain
56,190,67.7,18.76,Maintain
43,184,94.0,27.76,Weight Loss
51,168,79.7,28.23,Weight Loss
53,161,67.3,25.95,Weight Loss
59,176,51.0,16.48,Muscle Gain
19,158,75.8,30.35,Weight Loss
37,167,47.0,16.84,Muscle Gain
22,187,91.3,26.12,Weight Loss
21,166,79.4,28.8,Weight Loss
37,184,87.8,25.92,Weight Loss
29,177,70.3,22.43,Maintain
26,174,94.7,31.28,Weight Loss
24,155,60.4,25.13,Weight Loss
59,168,77.5,27.47,Weight Loss
46,175,93.2,30.42,Weight Loss
40,163,44.4,16.7,Muscle Gain
53,189,64.6,18.09,Muscle Gain
30,180,56.9,17.56,Muscle Gain
47,162,47.0,17.92,Muscle Gain
21,186,93.1,26.91,Weight Loss
33,178,57.2,18.06,Muscle Gain
29,152,72.2,31.23,Weight Loss
40,167,73.8,26.47,Weight Loss
30,162,52.6,20.06,Maintain
48,152,61.2,26.51,Weight Loss
56,159,47.3,18.7,Maintain
55,168,55.7,19.75,Maintain
33,171,51.8,17.73,Muscle Gain
55,187,58.0,16.6,Muscle Gain
31,183,56.9,17.0,Muscle Gain
23,154,42.6,17.96,Muscle Gain
51,161,59.4,22.92,Maintain
51,153,40.6,17.34,Muscle Gain
49,181,64.0,19.55,Maintain
24,175,50.3,16.42,Muscle Gain
52,186,59.6,17.23,Muscle Gain
51,166,76.9,27.89,Weight Loss
42,171,90.3,30.87,Weight Loss
31,159,64.6,25.54,Weight Loss
27,169,88.5,30.99,Weight Loss
21,153,73.2,31.28,Weight Loss
28,178,76.9,24.27,Maintain
49,185,55.9,16.34,Muscle Gain
59,161,44.1,17.0,Muscle Gain
52,176,63.1,20.36,Maintain
37,163,44.5,16.74,Muscle Gain
19,151,68.3,29.97,Weight Loss
43,183,94.0,28.08,Weight Loss
55,164,71.8,26.68,Weight Loss
31,182,55.4,16.72,Muscle Gain
41,174,90.0,29.72,Weight Loss
21,185,84.5,24.69,Maintain
26,186,97.5,28.17,Weight Loss
35,173,64.0,21.39,Maintain
31,152,66.0,28.56,Weight Loss
37,181,82.1,25.05,Weight Loss
46,163,59.0,22.22,Maintain
18,171,66.8,22.83,Maintain
23,187,111.3,31.84,Weight Loss
56,174,84.0,27.76,Weight Loss
25,158,79.0,31.64,Weight Loss
38,189,58.5,16.39,Muscle Gain
24,166,80.6,29.26,Weight Loss
34,152,43.7,18.93,Maintain
32,155,40.0,16.63,Muscle Gain
47,156,55.4,22.78,Maintain
19,159,63.5,25.12,Weight Loss
59,174,70.2,23.18,Maintain
19,171,85.7,29.3,Weight Loss
20,168,45.9,16.27,Muscle Gain
42,173,49.0,16.38,Muscle Gain
27,165,54.8,20.14,Maintain
43,157,42.5,17.24,Muscle Gain
58,183,55.6,16.6,Muscle Gain
59,184,104.1,30.74,Weight Loss
35,172,89.9,30.39,Weight Loss
21,170,88.8,30.72,Weight Loss
26,188,97.6,27.62,Weight Loss
29,181,60.6,18.51,Maintain
47,168,75.7,26.83,Weight Loss
18,171,76.8,26.28,Weight Loss
32,173,73.7,24.64,Maintain
35,173,52.1,17.42,Muscle Gain
48,174,74.4,24.58,Maintain
54,185,68.4,19.99,Maintain
44,168,64.1,22.71,Maintain
27,165,52.9,19.44,Maintain
54,183,65.6,19.6,Maintain
35,179,97.2,30.35,Weight Loss
47,155,52.1,21.7,Maintain
35,186,77.0,22.25,Maintain
38,174,68.5,22.63,Maintain
45,182,57.5,17.37,Muscle Gain
39,153,41.1,17.57,Muscle Gain
43,154,40.0,16.86,Muscle Gain
21,164,79.9,29.72,Weight Loss
32,157,72.8,29.55,Weight Loss
49,185,60.7,17.75,Muscle Gain
59,163,49.7,18.7,Maintain
43,160,71.0,27.73,Weight Loss
45,159,77.5,30.64,Weight Loss
34,184,60.4,17.83,Muscle Gain
45,170,63.1,21.85,Maintain
51,172,49.5,16.73,Muscle Gain
39,166,47.7,17.32,Muscle Gain
33,160,59.7,23.31,Maintain
30,166,54.1,19.63,Maintain
36,180,81.1,25.04,Weight Loss
18,154,54.2,22.87,Maintain
45,178,89.4,28.21,Weight Loss
29,188,57.5,16.26,Muscle Gain
27,154,51.8,21.85,Maintain
39,183,88.1,26.32,Weight Loss
46,183,65.2,19.46,Maintain
38,160,61.8,24.13,Maintain
37,187,95.3,27.25,Weight Loss
45,160,55.0,21.49,Maintain
38,184,58.6,17.31,Muscle Gain
56,157,68.0,27.59,Weight Loss
50,190,80.5,22.3,Maintain
52,164,55.0,20.45,Maintain
32,155,41.8,17.39,Muscle Gain
39,161,47.4,18.3,Muscle Gain
43,180,52.8,16.29,Muscle Gain
42,150,54.1,24.04,Maintain
23,180,84.4,26.05,Weight Loss
50,157,42.5,17.25,Muscle Gain
28,163,57.1,21.49,Maintain
38,151,41.5,18.22,Muscle Gain
54,156,70.9,29.14,Weight Loss
47,173,86.9,29.02,Weight Loss
21,163,54.7,20.59,Maintain
24,156,54.1,22.24,Maintain
33,156,39.8,16.35,Muscle Gain
36,163,53.2,20.04,Maintain
23,182,55.9,16.88,Muscle Gain
49,179,69.0,21.53,Maintain
44,178,77.1,24.33,Maintain
38,171,53.1,18.17,Muscle Gain
53,153,64.5,27.54,Weight Loss
21,180,100.1,30.89,Weight Loss
44,154,68.3,28.82,Weight Loss
32,159,45.6,18.02,Muscle Gain
26,156,52.2,21.46,Maintain
18,176,94.0,30.34,Weight Loss
54,181,96.2,29.35,Weight Loss
47,158,54.1,21.69,Maintain
34,169,48.8,17.07,Muscle Gain
28,157,43.3,17.56,Muscle Gain
37,166,84.1,30.51,Weight Loss
50,161,55.7,21.48,Maintain
51,165,81.9,30.07,Weight Loss
51,158,50.3,20.14,Maintain
32,157,62.3,25.27,Weight Loss
47,184,68.8,20.32,Maintain
57,175,72.4,23.65,Maintain
36,181,60.0,18.31,Muscle Gain
21,157,41.2,16.73,Muscle Gain
20,159,51.2,20.27,Maintain
45,186,63.2,18.27,Muscle Gain
58,161,43.4,16.75,Muscle Gain
44,170,52.0,18.0,Muscle Gain
46,157,45.0,18.26,Muscle Gain
56,161,52.6,20.3,Maintain
47,169,63.1,22.09,Maintain
44,161,45.0,17.36,Muscle Gain
20,160,46.5,18.16,Muscle Gain
25,173,55.0,18.38,Muscle Gain
24,167,63.7,22.85,Maintain
57,176,87.6,28.28,Weight Loss
23,168,45.6,16.15,Muscle Gain
24,178,92.6,29.22,Weight Loss
20,182,104.0,31.41,Weight Loss
56,159,76.5,30.25,Weight Loss
46,160,60.6,23.69,Maintain
23,156,44.4,18.24,Muscle Gain
45,175,90.6,29.57,Weight Loss
46,166,51.1,18.55,Maintain
38,165,53.4,19.6,Maintain
53,163,45.4,17.1,Muscle Gain
19,173,91.1,30.43,Weight Loss
55,171,85.2,29.15,Weight Loss
45,177,53.5,17.07,Muscle Gain
20,164,43.7,16.25,Muscle Gain
41,157,43.9,17.81,Muscle Gain
25,166,47.9,17.38,Muscle Gain
54,164,45.4,16.89,Muscle Gain
44,189,67.4,18.88,Maintain
42,154,39.9,16.82,Muscle Gain
21,156,39.3,16.16,Muscle Gain
32,165,43.6,16.0,Muscle Gain
21,166,49.3,17.9,Muscle Gain
24,175,55.2,18.01,Muscle Gain
26,163,73.2,27.55,Weight Loss
57,186,68.1,19.68,Maintain
22,185,97.9,28.61,Weight Loss
30,168,89.1,31.57,Weight Loss
20,162,47.9,18.26,Muscle Gain
58,159,62.0,24.54,Maintain
24,152,44.9,19.45,Maintain
41,150,57.6,25.6,Weight Loss
29,155,45.2,18.81,Maintain
31,180,52.2,16.11,Muscle Gain
49,168,49.8,17.64,Muscle Gain
48,189,63.2,17.7,Muscle Gain
55,184,61.1,18.04,Muscle Gain
55,172,63.1,21.32,Maintain
23,183,71.1,21.24,Maintain
27,167,48.7,17.47,Muscle Gain
40,176,73.7,23.78,Maintain
54,178,87.1,27.48,Weight Loss
21,163,49.6,18.67,Maintain
33,174,52.0,17.19,Muscle Gain
56,179,55.4,17.29,Muscle Gain
59,150,66.6,29.59,Weight Loss
48,158,63.2,25.3,Weight Loss
37,172,59.7,20.18,Maintain
57,165,65.4,24.03,Maintain
58,156,76.2,31.3,Weight Loss
41,188,110.0,31.13,Weight Loss
60,165,69.5,25.52,Weight Loss
25,169,70.4,24.64,Maintain
28,153,38.6,16.48,Muscle Gain
40,179,68.4,21.35,Maintain
37,185,82.6,24.14,Maintain
42,173,51.4,17.17,Muscle Gain
23,180,95.7,29.53,Weight Loss
43,158,41.9,16.8,Muscle Gain
19,156,52.1,21.4,Maintain
44,184,84.1,24.85,Maintain
22,185,75.5,22.05,Maintain
56,158,76.2,30.51,Weight Loss
37,185,94.7,27.67,Weight Loss
21,174,83.5,27.59,Weight Loss
22,183,59.2,17.69,Muscle Gain
58,162,79.3,30.22,Weight Loss
46,182,101.5,30.65,Weight Loss
24,167,45.0,16.13,Muscle Gain
49,163,58.3,21.95,Maintain
23,152,42.0,18.16,Muscle Gain
54,151,55.8,24.48,Maintain
52,150,40.0,17.79,Muscle Gain
59,178,75.5,23.82,Maintain
21,187,62.0,17.72,Muscle Gain
49,178,56.8,17.94,Muscle Gain
41,161,43.4,16.76,Muscle Gain
36,171,64.3,22.0,Maintain
43,189,80.6,22.55,Maintain
48,167,57.6,20.67,Maintain
29,173,54.4,18.19,Muscle Gain
42,185,68.4,19.99,Maintain
30,181,66.7,20.37,Maintain
34,179,89.1,27.8,Weight Loss
50,185,73.7,21.53,Maintain
29,166,65.8,23.87,Maintain
45,156,41.5,17.06,Muscle Gain
59,188,63.2,17.88,Muscle Gain
35,150,41.4,18.38,Muscle Gain
58,170,86.8,30.04,Weight Loss
50,159,56.9,22.51,Maintain
49,162,73.5,27.99,Weight Loss
20,169,69.0,24.17,Maintain
29,177,57.5,18.36,Muscle Gain
57,179,53.5,16.7,Muscle Gain
51,162,64.5,24.59,Maintain
51,170,74.6,25.83,Weight Loss
50,165,47.3,17.37,Muscle Gain
34,172,83.2,28.12,Weight Loss
19,189,100.5,28.13,Weight Loss
36,156,76.6,31.46,Weight Loss
38,188,104.8,29.65,Weight Loss
57,164,44.9,16.71,Muscle Gain
21,150,38.1,16.92,Muscle Gain
22,164,75.7,28.16,Weight Loss
44,190,66.1,18.32,Muscle Gain
37,168,77.5,27.45,Weight Loss
49,164,61.4,22.82,Maintain
57,175,70.6,23.05,Maintain
52,156,51.4,21.12,Maintain
56,183,70.4,21.02,Maintain
52,170,56.5,19.55,Maintain
32,163,61.6,23.2,Maintain
31,163,60.2,22.64,Maintain
37,168,52.5,18.61,Maintain
52,155,70.0,29.14,Weight Loss
26,166,57.2,20.76,Maintain
44,176,59.7,19.27,Maintain
31,188,85.7,24.26,Maintain
35,161,42.8,16.53,Muscle Gain
33,170,81.5,28.2,Weight Loss
51,163,42.8,16.12,Muscle Gain
20,160,59.7,23.33,Maintain
31,158,48.4,19.39,Maintain
31,166,50.7,18.39,Muscle Gain
38,173,81.9,27.37,Weight Loss
51,186,62.0,17.91,Muscle Gain
31,155,43.1,17.93,Muscle Gain
30,169,83.0,29.05,Weight Loss
28,156,62.4,25.64,Weight Loss
50,162,59.3,22.59,Maintain
34,163,45.1,16.96,Muscle Gain
51,162,69.0,26.28,Weight Loss
49,177,74.0,23.63,Maintain
45,165,70.2,25.78,Weight Loss
25,164,70.7,26.28,Weight Loss
38,163,50.3,18.93,Maintain
32,163,68.5,25.77,Weight Loss
26,182,94.5,28.53,Weight Loss
55,162,78.4,29.87,Weight Loss
25,153,38.4,16.42,Muscle Gain
57,158,60.0,24.02,Maintain
39,165,83.8,30.79,Weight Loss
57,186,73.9,21.36,Maintain
33,190,105.3,29.18,Weight Loss
18,175,62.4,20.39,Maintain
26,157,72.1,29.26,Weight Loss
57,188,78.9,22.31,Maintain
46,170,46.5,16.08,Muscle Gain
25,161,56.4,21.77,Maintain
35,187,60.1,17.18,Muscle Gain
45,179,101.6,31.71,Weight Loss
20,167,50.7,18.19,Muscle Gain
46,168,50.4,17.86,Muscle Gain
25,162,45.7,17.42,Muscle Gain
56,153,60.1,25.66,Weight Loss
29,185,88.1,25.75,Weight Loss
31,176,81.3,26.26,Weight Loss
19,158,51.9,20.77,Maintain
52,153,49.6,21.19,Maintain
47,153,41.9,17.92,Muscle Gain
29,184,100.0,29.53,Weight Loss
44,157,44.1,17.9,Muscle Gain
39,170,52.2,18.05,Muscle Gain
24,155,42.5,17.71,Muscle Gain
56,156,50.6,20.8,Maintain
43,177,62.0,19.78,Maintain
42,179,78.0,24.34,Maintain
26,158,63.8,25.56,Weight Loss
57,182,105.3,31.79,Weight Loss
24,167,81.2,29.12,Weight Loss
21,185,66.8,19.51,Maintain
38,162,42.2,16.09,Muscle Gain
21,176,52.5,16.94,Muscle Gain
55,167,57.7,20.7,Maintain
42,168,61.3,21.72,Maintain
48,168,75.8,26.86,Weight Loss
57,155,49.1,20.43,Maintain
39,184,105.3,31.1,Weight Loss
50,157,40.3,16.36,Muscle Gain
46,174,75.9,25.08,Weight Loss
52,158,72.4,29.0,Weight Loss
42,179,51.9,16.21,Muscle Gain
38,158,41.9,16.79,Muscle Gain
58,187,60.9,17.41,Muscle Gain
44,181,95.9,29.28,Weight Loss
20,160,81.6,31.86,Weight Loss
28,184,87.6,25.86,Weight Loss
60,156,40.7,16.73,Muscle Gain
48,161,77.0,29.7,Weight Loss
29,158,45.4,18.17,Muscle Gain
22,190,83.5,23.13,Maintain
27,177,53.5,17.08,Muscle Gain
18,151,68.0,29.82,Weight Loss
54,161,78.3,30.19,Weight Loss
45,176,54.1,17.45,Muscle Gain
60,172,65.7,22.21,Maintain
20,180,102.9,31.76,Weight Loss
57,162,50.8,19.34,Maintain
19,186,55.9,16.16,Muscle Gain
42,152,42.8,18.51,Maintain
23,178,69.6,21.97,Maintain
24,177,97.7,31.19,Weight Loss
23,180,83.5,25.76,Weight Loss
46,183,56.7,16.92,Muscle Gain
50,168,47.9,16.98,Muscle Gain
22,150,61.6,27.37,Weight Loss
59,183,57.0,17.03,Muscle Gain
18,186,102.9,29.74,Weight Loss
36,171,90.9,31.07,Weight Loss
30,162,54.0,20.59,Maintain
36,157,43.3,17.58,Muscle Gain
31,183,57.5,17.17,Muscle Gain
38,182,83.6,25.24,Weight Loss
38,190,108.6,30.07,Weight Loss
45,164,67.6,25.13,Weight Loss
45,162,61.0,23.26,Maintain
21,175,78.9,25.77,Weight Loss
24,173,53.4,17.84,Muscle Gain
26,189,95.5,26.74,Weight Loss
48,173,48.0,16.04,Muscle Gain
41,157,58.4,23.69,Maintain
45,184,65.0,19.21,Maintain
23,168,87.0,30.83,Weight Loss
46,159,53.5,21.16,Maintain
50,188,62.6,17.71,Muscle Gain
20,159,43.4,17.15,Muscle Gain
29,152,44.7,19.36,Maintain
57,182,71.3,21.52,Maintain
22,167,81.7,29.28,Weight Loss
58,158,58.3,23.37,Maintain
57,152,39.3,17.01,Muscle Gain
43,163,74.8,28.15,Weight Loss
22,182,54.2,16.36,Muscle Gain
46,162,43.6,16.62,Muscle Gain
45,176,78.3,25.28,Weight Loss
54,178,93.5,29.5,Weight Loss
19,186,92.8,26.82,Weight Loss
33,188,101.2,28.64,Weight Loss
43,169,67.5,23.62,Maintain
58,178,51.9,16.37,Muscle Gain
33,183,60.4,18.04,Muscle Gain
47,177,70.9,22.63,Maintain
24,152,37.3,16.13,Muscle Gain
57,186,62.0,17.91,Muscle Gain
38,185,57.7,16.87,Muscle Gain
19,164,85.8,31.89,Weight Loss
42,172,70.8,23.92,Maintain
53,173,84.3,28.16,Weight Loss
37,170,83.9,29.03,Weight Loss
25,175,59.5,19.44,Maintain
45,162,44.6,16.98,Muscle Gain
57,171,57.9,19.79,Maintain
52,161,57.7,22.25,Maintain
27,173,73.6,24.6,Maintain
44,184,60.2,17.79,Muscle Gain
18,179,61.0,19.03,Maintain
26,179,62.5,19.51,Maintain
44,154,40.6,17.12,Muscle Gain
54,177,89.4,28.52,Weight Loss
34,159,43.4,17.16,Muscle Gain
42,168,60.1,21.28,Maintain
21,176,97.0,31.3,Weight Loss
24,188,96.4,27.27,Weight Loss
58,153,48.6,20.77,Maintain
29,170,62.8,21.73,Maintain
32,190,62.2,17.22,Muscle Gain
45,154,43.0,18.13,Muscle Gain
42,175,53.0,17.29,Muscle Gain
24,173,86.6,28.93,Weight Loss
32,181,65.7,20.04,Maintain
57,172,55.2,18.66,Maintain
40,163,48.2,18.14,Muscle Gain
56,151,53.2,23.34,Maintain
54,163,52.8,19.89,Maintain
44,186,107.5,31.08,Weight Loss
24,173,63.1,21.09,Maintain
36,154,43.6,18.39,Muscle Gain
23,179,75.1,23.44,Maintain
26,158,59.2,23.72,Maintain
21,150,38.2,16.99,Muscle Gain
48,155,50.7,21.11,Maintain
56,166,66.2,24.02,Maintain
31,151,40.6,17.81,Muscle Gain
45,181,78.9,24.09,Maintain
20,161,78.0,30.09,Weight Loss
39,173,54.0,18.04,Muscle Gain
44,168,72.1,25.54,Weight Loss
37,176,84.7,27.34,Weight Loss
41,168,51.7,18.32,Muscle Gain
49,180,98.8,30.5,Weight Loss
44,185,58.7,17.16,Muscle Gain
45,156,68.3,28.07,Weight Loss
45,150,45.4,20.18,Maintain
20,183,55.9,16.7,Muscle Gain
21,161,46.5,17.93,Muscle Gain
60,165,56.7,20.84,Maintain
57,166,85.7,31.09,Weight Loss
30,168,62.0,21.97,Maintain
49,185,62.5,18.25,Muscle Gain
21,162,60.6,23.08,Maintain
60,173,91.6,30.59,Weight Loss
47,180,90.6,27.97,Weight Loss
18,182,91.2,27.54,Weight Loss
48,176,85.3,27.55,Weight Loss
39,167,84.9,30.46,Weight Loss
18,154,69.4,29.26,Weight Loss
59,155,48.3,20.12,Maintain
49,184,84.0,24.8,Maintain
59,153,62.9,26.87,Weight Loss
29,181,57.5,17.56,Muscle Gain
60,165,57.0,20.93,Maintain
52,179,99.2,30.96,Weight Loss
27,170,46.4,16.04,Muscle Gain
52,155,40.9,17.03,Muscle Gain
18,169,48.4,16.95,Muscle Gain
51,164,56.1,20.84,Maintain
25,187,62.4,17.84,Muscle Gain
39,163,55.3,20.82,Maintain
20,190,105.4,29.19,Weight Loss
32,182,103.2,31.15,Weight Loss
48,160,74.3,29.02,Weight Loss
38,152,39.9,17.28,Muscle Gain
19,152,56.1,24.26,Maintain
35,188,91.2,25.79,Weight Loss
45,190,66.0,18.29,Muscle Gain
35,175,59.3,19.35,Maintain
44,168,84.9,30.09,Weight Loss
41,186,69.5,20.1,Maintain
48,162,43.5,16.57,Muscle Gain
28,177,53.5,17.09,Muscle Gain
43,166,49.9,18.1,Muscle Gain
52,174,54.8,18.09,Muscle Gain
56,152,37.8,16.34,Muscle Gain
55,158,78.4,31.4,Weight Loss
56,174,94.1,31.07,Weight Loss
21,154,67.4,28.42,Weight Loss
35,169,62.6,21.93,Maintain
31,152,40.5,17.52,Muscle Gain
22,184,77.3,22.82,Maintain
58,190,57.8,16.01,Muscle Gain
32,177,61.3,19.57,Maintain
37,157,40.2,16.32,Muscle Gain
34,170,82.2,28.45,Weight Loss
30,162,45.4,17.29,Muscle Gain
50,160,80.1,31.27,Weight Loss
60,188,92.7,26.22,Weight Loss
44,163,65.4,24.63,Maintain
19,172,50.2,16.96,Muscle Gain
37,150,52.2,23.19,Maintain
32,177,96.4,30.77,Weight Loss
53,172,76.1,25.73,Weight Loss
53,164,77.2,28.71,Weight Loss
59,158,76.7,30.74,Weight Loss
54,150,46.6,20.7,Maintain
51,179,99.1,30.93,Weight Loss
19,162,72.5,27.63,Weight Loss
28,183,79.4,23.72,Maintain
55,182,100.1,30.22,Weight Loss
57,183,99.8,29.79,Weight Loss
52,164,45.3,16.86,Muscle Gain
18,180,103.7,32.0,Weight Loss
24,165,59.2,21.74,Maintain
45,161,77.7,29.97,Weight Loss
43,170,73.1,25.31,Weight Loss
55,190,87.9,24.36,Maintain
21,177,91.8,29.31,Weight Loss
48,162,47.5,18.09,Muscle Gain
31,175,82.2,26.84,Weight Loss
57,176,56.3,18.17,Muscle Gain
19,154,54.7,23.08,Maintain
39,165,68.8,25.27,Weight Loss
57,166,77.5,28.11,Weight Loss
41,190,66.2,18.33,Muscle Gain
32,160,44.6,17.44,Muscle Gain
37,176,52.0,16.8,Muscle Gain
28,176,90.5,29.23,Weight Loss
18,154,40.1,16.92,Muscle Gain
36,157,44.0,17.87,Muscle Gain
54,183,93.2,27.82,Weight Loss
31,166,79.6,28.9,Weight Loss
56,160,53.9,21.04,Maintain
31,190,78.8,21.83,Maintain
39,152,37.5,16.22,Muscle Gain
34,150,71.5,31.79,Weight Loss
46,159,52.9,20.91,Maintain
34,159,44.9,17.75,Muscle Gain
58,172,64.6,21.82,Maintain
44,153,41.3,17.64,Muscle Gain
38,168,52.9,18.76,Maintain
59,168,47.0,16.65,Muscle Gain
39,182,53.5,16.16,Muscle Gain
28,174,71.9,23.75,Maintain
22,165,80.9,29.72,Weight Loss
59,163,68.5,25.8,Weight Loss
25,189,90.6,25.36,Weight Loss
58,173,81.5,27.23,Weight Loss
20,175,74.5,24.32,Maintain
34,160,63.2,24.7,Maintain
28,189,65.4,18.3,Muscle Gain
49,172,85.8,29.0,Weight Loss
28,185,107.6,31.45,Weight Loss
48,182,56.3,17.01,Muscle Gain
54,177,50.3,16.04,Muscle Gain
43,162,71.8,27.37,Weight Loss
27,188,85.1,24.09,Maintain
20,154,39.0,16.45,Muscle Gain
60,150,38.5,17.13,Muscle Gain
42,173,67.8,22.66,Maintain
45,189,71.0,19.88,Maintain
52,153,40.5,17.3,Muscle Gain
31,184,101.5,29.97,Weight Loss
21,189,62.6,17.53,Muscle Gain
53,171,92.6,31.67,Weight Loss
26,153,44.4,18.95,Maintain
35,171,47.7,16.32,Muscle Gain
48,168,50.9,18.05,Muscle Gain
44,177,51.7,16.49,Muscle Gain
35,166,59.4,21.57,Maintain
40,184,59.6,17.59,Muscle Gain
52,157,44.9,18.2,Muscle Gain
27,189,61.3,17.16,Muscle Gain
37,168,73.4,26.0,Weight Loss
24,177,72.0,22.99,Maintain
22,186,58.1,16.78,Muscle Gain
24,161,59.8,23.06,Maintain
51,171,68.9,23.57,Maintain
26,177,81.3,25.96,Weight Loss
32,157,51.1,20.74,Maintain
48,156,64.4,26.45,Weight Loss
47,188,111.6,31.58,Weight Loss
25,187,102.0,29.16,Weight Loss
24,177,88.1,28.12,Weight Loss
31,186,109.7,31.72,Weight Loss
46,188,79.9,22.61,Maintain
46,189,72.7,20.34,Maintain
53,165,79.8,29.3,Weight Loss
60,157,77.1,31.29,Weight Loss
22,151,37.9,16.63,Muscle Gain
38,168,55.5,19.67,Maintain
34,165,51.7,18.99,Maintain
19,182,91.2,27.52,Weight Loss
22,167,47.6,17.05,Muscle Gain
45,162,44.5,16.94,Muscle Gain
25,171,61.9,21.17,Maintain
55,169,85.3,29.87,Weight Loss
22,150,38.0,16.9,Muscle Gain
31,169,50.1,17.53,Muscle Gain
48,178,72.4,22.84,Maintain
45,183,67.2,20.08,Maintain
37,170,79.2,27.42,Weight Loss
35,178,63.2,19.96,Maintain
30,152,59.6,25.79,Weight Loss
49,173,58.6,19.58,Maintain
49,178,53.2,16.78,Muscle Gain
55,153,41.6,17.75,Muscle Gain
22,185,106.1,31.01,Weight Loss
50,162,53.1,20.22,Maintain
30,180,52.2,16.12,Muscle Gain
33,181,79.8,24.36,Maintain
42,174,51.0,16.85,Muscle Gain
40,182,97.6,29.47,Weight Loss
18,181,55.6,16.98,Muscle Gain
44,159,55.5,21.94,Maintain
35,154,40.2,16.94,Muscle Gain
39,164,43.9,16.31,Muscle Gain
51,166,60.4,21.91,Maintain
56,164,85.9,31.92,Weight Loss
57,161,72.2,27.86,Weight Loss
24,173,67.7,22.62,Maintain
32,154,38.8,16.38,Muscle Gain
31,183,92.5,27.61,Weight Loss
24,166,53.7,19.47,Maintain
22,180,95.3,29.4,Weight Loss
27,163,59.4,22.36,Maintain
60,180,52.0,16.04,Muscle Gain
41,173,55.7,18.62,Maintain
33,153,55.3,23.63,Maintain
57,173,92.1,30.77,Weight Loss
41,178,54.2,17.12,Muscle Gain
48,180,55.1,17.0,Muscle Gain
59,179,76.7,23.95,Maintain
42,183,94.2,28.14,Weight Loss
54,177,82.5,26.32,Weight Loss
56,183,68.6,20.49,Maintain
55,178,88.0,27.76,Weight Loss
19,162,56.0,21.33,Maintain
22,169,91.0,31.85,Weight Loss
18,164,49.0,18.22,Muscle Gain
53,174,77.8,25.7,Weight Loss
42,151,68.3,29.97,Weight Loss
33,166,70.1,25.44,Weight Loss
59,156,72.8,29.91,Weight Loss
26,161,45.7,17.62,Muscle Gain
35,186,82.9,23.95,Maintain
52,172,51.2,17.32,Muscle Gain
